prompt,answer
ถ้ามีอาการเจ็บหน้าอกและหอบหืดขณะออกกำลังกายควรปรึกษาแพทย์ด้านใด,ทางเราแนะนำให้ปรึกษาแพทย์ในศูนย์หัวใจ ซึ่งเปิดทำการทุกวัน เวลา 7.00 - 19.00
ผมมีอาการท้องผูกและอาหารย่อยยากมานานหลายปีต้องไปตรวจอะไร, ผู้ป่วยควรรับการตรวจวินิจฉัยในศูนย์ทางเดินอาหารและตับ โดยเปิดทำการเวลา 7.00 - 21.00 ในวันธรรมดา และเวลา 7.00 - 18.00 ในวันเสาร์อาทิตย์
ผู้สูงวัยมีอาการปวดศีรษะรุนแรงและมีอาการคลื่นไส้หรืออาเจียนควรพบแพทย์ด้านใด, ทางเราแนะนำให้เข้าพบแพทย์ผู้เชี่ยวชาญด้านสมองและระบบประสาทในศูนย์อายุรกรรม โดยสามารถเข้าปรึกษาแพทย์ได้ทุกวัน เวลา 7.00 - 21.00 
หมอแบบไหนที่ให้คำปรึกษาได้หากมีอาการท้องเสียรุนแรงและมีเลือดปนเป็นอุจจาระ, ผู้ป่วยควรเข้ารักษากับแพทย์ผู้มีความเชี้ยวชาญด้านลำไส้ใหญ่และทวารหนักในศูนย์ทางเดินอาหารและตับ เปิดทำการเวลา 7.00 - 21.00 ในวันธรรมดา และเวลา 7.00 - 18.00 ในวันเสาร์อาทิตย์
คลินิกด้านไหนที่รักษาอาการระบบทางเดินหายใจอักเสบรุนแรงและมีอาการหายใจเหนื่อย, ผู้ป่วยควรเข้่าพบแพทย์ในศูนย์ระบบการหายใจ โดยเปิดทำการในวันจันทร์ถึงวันอาทิตย์ เวลา 7.00 - 21.00
อยากตรวจหาสาเหตุของการเจ็บแสบหลังสะโพกและมีปัญหาการเคลื่อนไหว, ผู้ป่วยสามารถเข้ามาตรวจวินิจฉัยโรคได้ที่ศูนย์ออร์โธปิดิกส์ โดยเปิดทำการในวันจันทร์ถึงวันอาทิตย์ เวลา 7.00 - 21.00
เด็กมีปัญหาการมองเห็นและมีปัญหาด้านสายตาต้องปรึกษาแพทย์ด้านใด, ผู้ป่วยเด็กสามารถเข้่ารักษาที่ศูนย์ตาของโรงพยาบาลนี้ได้ โดยเปิดทำการทุกวัน เวลา 7.00 - 21.00
น้องสาวมีอาการตกขาวที่มีกลิ่นเหม็นและคันแต่อายที่จะพบแพทย์ควรเริ่มต้นอย่างไร, อาการดังกล่าวควรปรึกษาแพทย์ในศูนย์นรีเวช สามารถเข้ามาพบแพทย์ได้ทุกวัน ภายในเวลา 7.00 - 21.00
ลูกสาวมีอาการปวดท้องประจำเดือนและการมีรอยคราบเลือดที่ไม่ปกติต้องตรวจอะไร, ทางโรงพยาบาลแนะนำให้เข้าพบแพทย์ในศูนย์นรีเวชเพื่อวินิจฉัยโรค ซึ่งเปิดทำการทุกวัน เวลา 7.00 - 21.00
อยากหาหมอที่ตรวจหาสาเหตุของอาการหัวใจเต้นเร็วและเหนื่อยง่าย, ท่านควรรับการวินิจฉัยและรักษาในศูนย์หัวใจ โดยเปิดทำการในวันจันทร์ถึงวันอาทิตย์ เวลา 7.00 - 21.00
