query,ref_answer
ไม่แน่ใจว่าจะเกี่ยวกับโรคหัวใจหรือไม่ครับ อายุ 29 เพิ่งเริ่มเป็นแต่ก็เคยมีอาการมาหลายครั้งเหมือนกัน โดยบริเวณใต้ราวนม ใต้แขนซ้าย บริเวณซี่โครงส่วนบนครับ เวลาหายใจเข้าจะเจ็บแปลบ ๆๆ และขัด ๆ แต่ก็เคยไปเช็คคลื่นหัวใจที่โรงพยาบาลแล้ว หมอบอกว่าปกติครับ อยากทราบว่าจะพบแพทย์ผู้เชี่ยวชาญเฉพาะทางท่านใดได้บ้าง,ทางเราแนะนำท่านเข้าพบแพทย์ในศูนย์หัวใจ โดยสามารถเข้ามารับการวินิจฉัยได้ทุกวันเวลา 7.00 - 19.00 
เมื่อสองปีที่แล้วพี่สาวเป็นไทรอยเป็นพิษสุดท้ายทำการกลืนแร่ และหลังจากกลืนแร่ก็ยังไม่มีอาการ มีเพียงเป็นคนที่เหงื่อออกมาไม่ทราบจะเกี่ยวกันไหมแต่ทีนี้พี่เขาก็กลัวว่าจะเป็นมะเร็ง และไม่แน่ใจว่าจะมีผลกระทบอย่างไรกับตัวเองภายหลังจากกลืนแร่ต้องทำการปฏิบัติตัวอย่างไรเป็นพิเศษไหม ควรปรึกษาแพทย์ผู้เชี่ยวชาญท่านไหนดี,ผู้ป่วยสามารถเข้ารับการวินิจฉัยเบื้องต้นที่ศูนย์อายุรกรรมได้เพื่อให้ทางแพทย์ประเมินอาการ โดยศูนย์เปิดบริการทุกวันเวลา 7.00 - 21.00 
ผมตื่นมามีอาการคล้ายสิวหัวช้างที่หลังหูสามเม็ด กดเจ็บ แล้วก้อต่อมน้ำเหลืองที่คอโต ต่อมาเลยกินยาAmkเพื่อลดต่อมน้ำเหลืองกินมา2วัน อาการดีขึ้นผมจึงจัดการกับหัวสิวหัวช้างที่อยู่หลังหูใช้clinda m กับ benzac ac5 ตื่นมาอีกวันแผลตกสะเกดเฉยทั้งที่ก่อนหน้าไม่มีหัว ตกสะเกดสีดำบุ๋มลงไปประมาณครึ่ง ซม. ต่อมามีอาการปวดบวมร้อน บางเวลา มีเหมือนโดนเข็มทิ่มเจ็บจี๊ดจี๊ด ตอนนี้ ผม ซื้อ cloxaมากินคับ กังวลเหมือนกัน แผลตกสะเก็ดแต่ยัง ปวด ร้อน อยู่ ตอนนี้ก้ออาทิตนึงแล้ว กินcloxa ได้สองเม็ด อยากไปพบแพทย์เฉพาะทางท่านไหนได้บ้างครับ, แนะนำให้ผู้ป่วยเข้าพบแพทย์เพื่อประเมินอาการโดยผู้เชี่ยวชาญก่อน เพื่อให้สามารถส่งต่อไปที่ศูนย์เฉพาะทางได้อย่างตรงจุด สามารถเข้าวินิจฉัยอาการได้ที่ศูนย์อายุรกรรม โดยเปิดบริการทุกวันเวลา 7.00 - 21.00
อายุ 18 ปี ปวดปัสสาวะตอนกลางคืน แต่ไม่ได้ลุกไปปัสสาวะ ตอนเช้าเจ็บตึงท้องมาก ปัสสาวะออกมามาก อันตรายไหม ควรปรึกษาแพทย์ผู้เชี่ยวชาญท่านไหนดี,ท่านสามารถเข้ารับการรักษาได้ที่ศูนย์ทางเดินปัสสาวะ ซึ่งเปิดทำการทุกวัน เวลา 7.00 - 19.00
เวียนหัวไม่หมุน โคลงเคลง เพลีย มือเท้าเย็น ไปตรวจคลินิกบอกว่าเส้นเลือดหัวใจตีบ ไปตรวจที่ รพ. ได้เดินสายพาน ผลปกติ เลยอยากตรวจกับแพทย์เฉพาะทาง,ทางเราแนะนำให้รับการวินิจฉัยเบื้องต้นที่ศูนย์อายุรกรรมก่อน เพื่อให้สามารถส่งต่อไปที่ศูนย์เฉพาะทางได้ตรงจุด โดยสามารถเข้ามารับการวินิจฉัยได้ทุกวันเวลา 7.00 - 21.00 
อยากหาแพทย์เฉพาะทางเพื่อรักษาอาการตกขาวออกมามากปนกับปัสสาวะ มีปัสสาวะแสบและปวดท้องน้อย,ผู้ป่วยสามารถเข้ารับการวินิจฉัยเบื้องต้นที่ศูนย์อายุรกรรมได้เพื่อให้ทางแพทย์ประเมินอาการก่อนส่งต่อไปยังศูนย์เฉพาะทาง โดยศูนย์เปิดบริการทุกวันเวลา 7.00 - 21.00 
หายใจมีเสียงหวีด ไอ เหนื่อย มีเสมหะเเหนียว เป็นมา 2 เดือน ไปหาหมอ ตรวจเอกซเรย์ ปกติดี ให้ยาขยายหลอดลมมาทาน แต่ไม่ดีขึ้นเลยอยากพบแพทย์เฉพาะทางครับ,ท่านสามารถเข้ารับการวินิจฉัยและรักษาได้ที่ศูนย์ระบบการหายใจ โดยศูนย์เปิดทำการทุกวัน เวลา 7.00 - 21.00 
มีผื่นคันเป็นขุยๆที่ขา แขนและลำตัว เวลาอากาศเย็นจะคันมาก มีช่วงที่ลาม มีช่วงที่เป็นๆหายๆ ไปหาหมอแล้วแต่ตรวจไม่พบว่าเป็นภูมิแพ้อะไร มีแพทย์เฉพาะทางท่านใดชำนาญด้านนี้บ้าง อยากตรวจด้วยค่ะ,ทางโรงพยาบาลมีศูนย์โรคภูมิแพ้เฉพาะทางที่ท่านสามารถเข้ารับการรักษาได้ทุกวัน ในเวลา 8.00 - 20.00 
ปวดตาทั้งวัน เจอแสงจ้าก็ปวด และทำงานหน้าจอนาน ๆ ไม่ได้ และจะปวดตาหนักในช่วงตอนเย็นของทุกวัน ปวดขมับ มีอาการแบบนี้มา 4-5 วันแล้ว กินยาแก้ปวดนอนพักก็ยังไม่หายเลยอยากพบแพทย์เฉพาะทางครับ,ทางเราแนะนำให้ท่านเข้าพบแพทย์ในศูนย์ตาเฉพาะทางของโรงพยาบาล โดยศูนย์เปิดทำการทุกวัน เวลา 7.00 - 21.00 
รู้สึกเหมือนมีอะไรเคลื่อนไหวในท้อง ตรงช่วงใต้ลิ้นปี่ แน่นร้าวไปชายโครง ไปเอ็กซ์เรย์มาก็ไม่เจออะไร มีแพทย์เฉพาะทางท่านใดชำนาญด้านนี้บ้าง อยากขอคำปรึกษาครับ,ทางเราแนะนำให้รับการวินิจฉัยเบื้องต้นที่ศูนย์อายุรกรรมก่อน เพื่อให้สามารถส่งต่อไปที่ศูนย์เฉพาะทางได้ตรงจุด โดยสามารถเข้ามารับการวินิจฉัยได้ทุกวันเวลา 7.00 - 21.00 
